titel;auteur;serie;jaar_van_uitgave;originele_titel;taal;cover_url
TWEEDUISTER;Stephen King;;1990;Four Past Midnight ;Nederlands;https://www.deslegte.com/?module=CMS&action=GenerateThumbnail&url=https://www.deslegte.com/tweeduister-de-engelieren-het-geheime-raam-109752/
VEL OVER BEEN;Stephen King;;1998;Bag of Bones ;Nederlands;https://api.bruna.nl/images/active/carrousel/fullsize/9789021049168_front.jpg
VLUCHT NAAR DE TOP;Stephen King;(Richard Bachman);1986;The Running Man ;Nederlands;https://media.s-bol.com/yG8x7rxD5oPn/n50Q884/827x1200.jpg
WERK IN UITVOERING / VLUCHT NAAR DE TOP;Stephen King;;1986;Roadwork ;Nederlands;https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1378225548i/18454671.jpg
WISSELING VAN DE WACHT;Stephen King;MR. MERCEDES;2016;End of Watch ;Nederlands;https://media.s-bol.com/VNvOWoXRPrwB/690x1200.jpg
WOLVEN VAN DE CALLA;Stephen King;DONKERE TOREN;2003;The Dark Tower 5: Wolves of the Calla ;Nederlands;https://media.s-bol.com/3nlPO8EoOMQp/qxEwO22/539x840.jpg
COFFEY OP DE MIJL;Stephen King;DE GROENE MIJL;1996;Coffey on the Mile;Nederlands;https://media.s-bol.com/gkBPDGNBw8Nr/770x1200.jpg
COFFEY'S HANDEN;Stephen King;DE GROENE MIJL;1996;Coffey's Hands;Nederlands;https://www.boekenwebsite.nl/files/imagecache/vergroting/coffey039s-handen.jpg
DE MUIS;Stephen King;DE GROENE MIJL;1996;The Mouse on the Mile;Nederlands;https://media.s-bol.com/mLvAZkJD9mp/526x840.jpg
NACHTREIS;Stephen King;DE GROENE MIJL;1996;Night Journey;Nederlands;https://media.s-bol.com/qJXQ4JMlqxy/738x1200.jpg
DE TWEE DODE MEISJES;Stephen King;DE GROENE MIJL;1996;The Two Dead Girls;Nederlands;https://media.s-bol.com/NN6XLWBxOEz/741x1200.jpg
DE VRESELIJKE DOOD CAN EDUARD DELACROIX;Stephen King;DE GROENE MIJL;1996;The Bad Death of Eduard Delacroix;Nederlands;https://media.s-bol.com/RX1pAmRXDrZq/YnBQQ2/533x840.jpg
IK GREIZEL VAN GENOT;Stephen King en anderen;;1991;I Shudder At Your Touch;Nederlands;https://kinglijst.netlify.app/src/img/ik_griezel_van_genot.jpg
NA ZONSONDERGANG;Stephen King;;2008;Just After Sunset;Nederlands;https://kinglijst.netlify.app/src/img/na_zonsondergang.jpg
DE BAZAAR VAN BOZE DROMEN;Stephen King;;2015;The Bazaar Of Bad Dreams;Nederlands;https://kinglijst.netlify.app/src/img/de_bazeer_van_boze_dromen.jpg
VREES NIET;Stephen King;HOLLY GIBNEY;2025;Never Flinch;Nederlands;https://kinglijst.netlify.app/src/img/vrees_niet.jpg
ZWART HUIS;Stephen King & Peter Straub;;2001;Black House;Nederlands;https://kinglijst.netlify.app/src/img/zwart_huis.jpg
